Text
['  ঢাকা-চট্টগ্রাম মহাসড়কের ওপর মঞ্চ বানিয়ে গতকাল বুধবার সকালে সভা করেছে নারায়ণগঞ্জের সোনারগাঁ উপজেলা যুবলীগ। এর ফলে গুরুত্বপূর্ণ মহাসড়কটিতে ১২ কিলোমিটারজুড়ে যানবাহনের সারি তৈরি হয়। প্রায় দুই ঘণ্টা যানজটের দুর্ভোগ পোহান শত শত গাড়ির যাত্রী ও চালকেরা।']
['  আল্লাহর নামে আর অখণ্ড পাকিস্তান রক্ষার অজুহাতে ঢাকা আজ ধ্বংসপ্রাপ্ত ও ভয়ের নগরী।']
['  খালেদা জিয়ার বিরুদ্ধে মামলা দিয়ে সরকার বিএনপির কাউন্সিল ‘ভন্ডুলের ষড়যন্ত্রে লিপ্ত’ রয়েছে বলে অভিযোগ করেছেন দলটির ভাইস চেয়ারম্যান আবদুল্লাহ আল নোমান। ']
"['  ইংল্যান্ডের প্রাচীন যুগের নৃপতিরা ব্যক্তিবিশেষের প্রতি তাঁদের রাগ-অনুরাগের কারণে একই আইনের ভিন্ন ভিন্ন প্রয়োগ কার্যকর করতেন। সে কারণেই আইনের সমতা নীতির ধারণার প্রচলন ঘটে, যা বাংলাদেশ সংবিধানের ২৭ অনুচ্ছেদে স্বীকৃত আছে। রাজধানী উন্নয়ন কর্তৃপক্ষের (রাজউক) সাবেক চেয়ারম্যান (২০০৯-২০১৪) মো. নুরুল হুদার স্ত্রীর প্লট ফেরত দেওয়ার ঘটনায় তাঁদের যেভাবে দায়মুক্তি দেওয়া হয়েছে, তাতে আইনের সমতার নীতিকে আঘাত করা হয়েছে। এ বিষয়ে দুর্নীতি দমন কমিশন দুদকের তদন্ত উদ্যোগ কার্যত সফল হয়েছিল। অথচ দুদক এখন বেআইনিভাবে নেওয়া প্লট ফেরত পাওয়ার কারণ দেখিয়ে বিষয়টি ‘নথিভুক্তির মাধ্যমে নিষ্পত্তি’ করেছে। কিন্তু এটা আইনসিদ্ধ নয়। দুদকের প্রধান কৌঁসুলিও প্রথম আলোকে মঙ্গলবার বলেছেন, দুদক কথিত মতে এ বিষয়ে যে সিদ্ধান্ত দিয়েছে, তা প্রশ্নবিদ্ধ ও বাতিলযোগ্য।']"
"['  সৌদি আরবের রিয়াদে প্রবাসী বাংলাদেশি গুণীজন ও কৃতী শিক্ষার্থীদের সংবর্ধনা দিয়েছে সৌদি আরবপ্রবাসী অনলাইন অ্যাকটিভিস্ট ফোরাম, রিয়াদ। মহান একুশ ও আন্তর্জাতিক মাতৃভাষা দিবস উপলক্ষে ফোরাম গুণীজন ও কৃতী শিক্ষার্থীদের সংবর্ধনা প্রদান করে।']"
['  অস্ট্রেলিয়ার নিউক্যাসলে বাংলাদেশ স্টুডেন্টস অ্যাসোসিয়েশনের বার্ষিক সাধারণ সভা ও সম্মেলন অনুষ্ঠিত হয়েছে। সম্মেলনে প্রকৌশলী মো. খায়রুল আলম সভাপতি ও তানভী নেওয়াজ সাধারণ সম্পাদক হিসেবে নির্বাচিত হয়েছেন।']
"['  নারায়ণগঞ্জে সাত খুন মামলার প্রধান আসামি নূর হোসেনের বিরুদ্ধে তিনটি অস্ত্র মামলায় সাক্ষী না আসায় সাক্ষ্যগ্রহণ পিছিয়ে আগামী ১৩ এপ্রিল ধার্য করেছেন আদালত। আজ বুধবার সকালে নারায়ণগঞ্জের অতিরিক্ত জেলা ও দায়রা জজ দ্বিতীয় আদালতের বিচারক কামরুন নাহার এ আদেশ দেন। এদিকে, নূর হোসেনকে ডান্ডাবেড়ি না পরিয়ে আদালতে হাজির করায় ক্ষোভ প্রকাশ করেছেন সাত খুনের দুই মামলার বাদীপক্ষের আইনজীবী।']"
['  কুমিল্লা শহরের দক্ষিণ রসুলপুর এলাকায় দুই শিশু হত্যা মামলার প্রধান আসামি মো. আল সফিউল ইসলাম ওরফে ছোটনকে গ্রেপ্তার করা হয়েছে। আজ মঙ্গলবার সকালে কুমিল্লার অতিরিক্ত পুলিশ সুপার (উত্তর) মো. আলী আশরাফ ভূঞা প্রথম আলোকে এই তথ্য জানান।']
"['  রাজধানীর শাহবাগে পূবালী ব্যাংক ও জাতীয় জাদুঘরের সংযোগে নবনির্মিত পদসেতুতে ওঠা মানেই পথচারীদের জন্য একটা দুর্ভোগ। পূবালী ব্যাংকের দিক থেকে জাদুঘরের প্রান্তে গিয়ে এই পদসেতু (ফুট ওভারব্রিজ) থেকে নামলে বের হওয়ার কোনো রাস্তা নেই। এ এক দুর্ভোগ! এতে পদসেতু পার হওয়া পথচারীকে ঘুরেফিরে সেই রাস্তা দিয়েই যেতে হচ্ছে। অথচ এই সেতু নির্মিত হয়েছে রাস্তা পারাপারে পথচারীদের দুর্ভোগ লাঘবে। জাদুঘরের পাশের ফুটপাত দিয়েও মানুষ চলাচল করতে পারছে না। এ দুর্ভোগের মূল কারণ হচ্ছে ফুটপাতের ওপর একটি ঘর। সরেজমিনে দেখা গেছে, শাহবাগে পূবালী ব্যাংক ও জাদুঘরের সংযোগস্থলে নির্মিত পদসেতু দিয়ে মানুষের যাতায়াত কম। যাঁরা অন্তত আগে একবার উঠেছেন, তাঁরা পারতপক্ষে এ পথ মাড়ান না। কারণ হচ্ছে, এই পদসেতু থেকে জাদুঘরের দিকে নামার রাস্তাটি বন্ধ। ফুটপাতের ওপর ওই অস্থায়ী ঘর থাকায় এই রাস্তা অনেক দিন ধরে বন্ধ। যাঁরা কাঁটাবন থেকে ফুটপাত দিয়ে জাদুঘর বা ঢাকা বিশ্ববিদ্যালয় এলাকার দিকে যেতে চান বা জাদুঘরের সামনের ফুটপাত দিয়ে কাঁটাবনের দিকে যেতে চান, তাঁরাও এখানে এসে আটকে যান। ঘরটি থাকায় দুদিক থেকে যাতায়াতের সমস্যায় পড়েন পথচারীরা। বাধ্য হয়ে তাঁদের অনেকটা পথ ঘুরে যেতে হয়। ']"
['  মেহেরপুরের গাংনী উপজেলার ব্রজপুর গ্রামে জামাই ও শ্বশুরকে এক মাস করে কারাদণ্ড দিয়েছেন আদালত। বাল্যবিয়ের ঘটনায় তাঁদের কারাদণ্ড দেওয়া হয়।']
