Text,Summary
"মানুষের সুন্দর মুখ দেখে আনন্দিত হয়ো না। স্বভাবে সে সুন্দর নয়, দেখতে সুন্দর হলেও তার স্বভাব, তার স্পর্শ, তার রীতিনীতিকে মানুষ ঘৃণা করে। দুঃস্বভাবের মানুষ মানুষের হৃদয়ে জ্বালা ও বেদনা দেয়। তার সুন্দর মুখে মানুষ তৃপ্তি পায় না। অবোধ লোকেরা মানুষের রূপ দেখে মুগ্ধ হয় এবং তার ফল ভোগ করে। যার স্বভাব মন্দ, সে নিজেও দুষ্ক্রিয়াশীল, মিথ্যাবাদী, দুর্মতিকে ঘৃণা করে। মানুষ নিজে স্বভাবে সুন্দর না হলেও সে স্বভাবের সৌন্দর্যকে ভালোবাসে। স্বভাব গঠনে কঠিন পরিশ্রম ও সাধনা চাই, নইলে শয়তানকে পরাজিত করা সম্ভব নয়।
","বাহ্যিক সৌন্দর্য নয়, স্বভাবের সৌন্দর্যই মানুষকে বিচারের মাপকাঠি। খারাপ স্বভাবের মানুষও বাহ্যিক সৌন্দর্যের অধিকারী হতে পারে। আর যারা খারাপ স্বভাবের তারাও সুন্দর স্বভাবের মানুষকে পছন্দ করে। তাই কঠোর পরিশ্রম ও সাধনার মাধ্যমে সুন্দর স্বভাবের অধিকারী হতে হবে। 
"
"মুখে অনেকেই টাকা তুচ্ছ, অর্থ অনর্থের মূল বলিয়া থাকেন। কিন্তু জগৎ এমন ভয়ানক স্থান যে টাকা না থাকিলে তাহার স্থান কোথাও নাই। সমাজে নাই, স্বজাতির নিকট নাই, ভ্রাতা-ভগিনীর নিকটে নাই, স্ত্রীর নিকটে নাই। স্ত্রীর ন্যায় ভালোবাসে এমন বলতে জগতে আর কে আছে? টাকা না থাকিলে অমন অকৃত্রিম ভালোবাসারও আশা নাই। কাহারও নিকট সম্মান নাই। টাকা না থাকিলে রাজায় চিনে না, সাধারণে মান্য করে না, বিপদে জ্ঞান থাকে না। জন্মমাত্র টাকা, জীবনে টাকা, জীবনান্তে টাকা, জগতে টাকারই খেলা। 
",অর্থকে অনর্থের মূল বলা হলেও মূলত এটি অত্যন্ত মূল্যবান। অর্থ বিত্তহীন মানুষকে তার পরিবার থেকে শুরু করে সর্বত্রই অসম্মানের চোখে দেখা হয়। মানুষের জীবনের প্রতিটি ক্ষেত্রে তাই অর্থই প্রধান অবলম্বন। 
"আমি ভাগিনীদের কল্যাণ কামনা করি, তাহাদের ধর্মবন্ধন বা সমাজবন্ধন ছিন্ন করিয়া তাহাদিগকে একটা উন্মুক্ত প্রান্তরে বাহির করিতে চাহি না, মানসিক উন্নতি করিতে হইলে হিন্দুত্ব বা খ্রিষ্টানকে খ্রিষ্টানি ছাড়িতে হইবে এমন কোনো কথা নাই। আপন আপন সম্প্রদায়ের পার্থক্য রক্ষা করিয়াও মনটাকে স্বাধীনতা দেওয়া যায়। আমরা যে কেবল উপযুক্ত শিক্ষার অভাবে অবনত হইয়াছি, তাই বুঝিতে ও বুঝাইতে চাই।
","উপযুক্ত শিক্ষার অভাবে নারী তার মনের স্বাধীনতা হারিযেছে। এ অবস্থা থেকে উত্তরণের জন্য ধর্মবন্ধন বা সমাজবন্ধন ছিন্ন করার কোনো প্রয়োজন নেই। নিজ ধর্মে বা সমাজে থেকেই সুশিক্ষা গ্রহণের মাধ্যমে মানসিক উন্নতি সাধন করা যায়। 
"
"আমি ভালোবেসেছি এ জগৎকে, আমি প্রণাম করেছি মহৎকে- আমি কামনা করেছি মুক্তিকে। যে মুক্তি পরম পুরুষের কাছে আত্মনিবেদনে- আমি বিশ্বাস করেছি মানুষের সত্য মহামানবের মধ্যে যিনি ‘সদা জানানং হৃদয়ে সন্নিবিষ্ট’। আমি আবাল্য অভ্যস্ত ঐকান্তিক সাহিত্য সাধনার গন্ডিকে অতিক্রম করে একদা সেই মহামানবের উদ্দেশ্যে যথাসাধ্য আমার কর্মের অর্ঘ্য, আমার ত্যাগের নৈবেদ্য আহরণ করেছি- তাতে বাইরের থেকে যদি বাধা পেয়ে থাকি অন্তর থেকে পেয়েছি প্রসাদ। আমি এসেছি এই ধরণীর মহাতীর্থে- এখানে সর্বদেশ, সর্বজাতি ও সর্বকালের ইতিহাসের মহাকেন্দ্রে আছেন নরদেবতা, তারাই বেদীমূলে নিবৃত্তে বসে আমার অহংকার, আমার ভেদবুদ্ধি ক্ষালন করবার চেষ্টায় আজও প্রবৃত্ত আছি।
","একজন জীবনসাধকের কাছে এ জগতই সত্য। তিনি মানুষের সত্যে বিশ্বাস করেছেন, মানুষও তার মনুষ্যত্বকে মর্যাদার আসনে বসিয়েছেন। আর তাই মহামানবের কাছে তিনি তাঁর সকল কিছু সমর্পণ করে ক্ষুদ্রতা, সংকীর্ণতার গন্ডি থেকে নিজেকে মুক্ত করার সাধনায় রত। 
"
"আমি লাইব্রেরিকে স্কুল কলেজের উপরে স্থান দিই এই কারণে যে, এ স্থানে লোক স্বেচ্ছায় স্বচ্ছন্দচিত্তে স্বশিক্ষিত হবার সুযোগ পায়। প্রতিটি লোক তার স্বীয় শক্তি ও রুচি অনুসারে নিজের মনকে নিজের চেষ্টায় আত্মার রাজ্যে জ্ঞানের পথে এগিয়ে নিয়ে যেতে পারে। স্কুল কলেজে বর্তমানে আমাদের যে অপকার করছে সে অপকারের প্রতিকারের জন্য শুধু নগরে নগরে নয়, গ্রামে গ্রামে লাইব্রেরি প্রতিষ্ঠা করা কর্তব্য। আমি পূর্বে বলেছি যে লাইব্রেরি হাসপাতালের চাইতে কম উপকারী নয়, তার কারণ আমাদের শিক্ষার বর্তমান অবস্থায় লাইব্রেরি হচ্ছে এক রকম মনের হাসপাতাল।
","স্বশিক্ষিত হবার সুযোগ আমাদের প্রচলিত শিক্ষা ব্যবস্থায় নেই। পুথিগত শিক্ষা থেকে বের হয়ে এসে স্বেচ্ছায় ও স্বচ্ছন্দে লেখাপড়ার জন্য দরকার লাইব্রেরি। শিক্ষার বর্তমান রুগ্নদশার চিকিৎসার জন্য শহর, গ্রাম সর্বত্র লাইব্রেরি প্রতিষ্ঠা করা দরকার। 
"
"আল্লাহ তাআলা এই সংসার সৃষ্টি করিয়াছেন। তিনি পরম দয়ালু, সর্বদা আমাদের মঙ্গল করেন ও লালন-পালন করেন। তিনি আমাদের খাদ্য দিয়াছেন; আমরা তাহা আহার করি। তিনি আমাদের পানি দিয়াছেন; আমরা তাহা পান করি। তিনি আমাদিগকে বায়ু দিয়াছেন, তাহা আমরা নিশ্বাস দ্বারা গ্রহণ করিয়া বাঁচিয়া থাকি। তিনি আমাদের সুখী করিবার জন্য সমস্তই দিয়াছেন। আমরা যাহা করি, তিনি তাহা বুঝিতে পারেন। আমরা তাঁহাকে দেখিতে পাই না। কিন্তু তিনি সকল স্থানেই আছেন। চলো আমরা তাঁহার ইবাদত করি।
","মহান সৃষ্টিকর্তা এই জগৎ সংসার সৃষ্টি করে মানুষের প্রয়োজনীয় সকল কিছুই দিয়েছেন। তাঁকে দেখা না গেলেও তিনি সর্বত্রই বিরাজমান এবং আমাদের সকল কিছুই তিনি জানেন। তাই আমাদের উচিত পরম করুণাময় আল্লাহ তাআলার ইবাদত করা। 
"
"ইসলাম কথা ও কাজে এক। মুসলমান মুখে মুখে সাম্য ও মানবতার কথা স্বীকার করিয়াই সন্তুষ্ট হয় না। ঈমান, শৃঙ্খলা ও নিয়মানুবর্তিতার ভিতর দিয়া সে তাহার দৈনন্দিন জীবনে সাম্য ও মানবতার আদর্শকে সুন্দরভাবে রূপদান করিবার চেষ্টা করে। মসজিদে যাও, দেখিবে বাদশাহের পাশে ক্রীতদাস দাঁড়াইয়া খোদার উদ্দেশ্যে মাথা নত করিতেছে। ইসলামে সাদা-কালোর ভেদ নাই, দাস-প্রভুর তফাৎ নাই। তাই ইসলাম ভৌগোলিক সীমা লঙ্ঘন করিয়া বর্ণবৈষম্য তুলিয়া দিয়া সমস্ত মুসলমানকে ভ্রাতৃত্ব-বন্ধনে আবদ্ধ করিয়াছে।
","সাম্য ও মানবতা ইসলাম ধর্মের মূল কথা। এটি কেবল তত্ত্বেই সীমাবদ্ধ নয়, কাজেও এ কথার প্রমাণ রয়েছে। ঈমান, শৃঙ্খলা ও নিয়মানুবর্তিতার মধ্যদিয়ে সাম্য ও মানবতার বাণী সারাবিশ্বে ছড়িয়ে দিয়ে ইসলাম গোটা বিশ্বের মুসলমানকে ভ্রাতৃত্বের বন্ধনে আবদ্ধ করেছে। 
"
"ইহাই যৌবন, এই ধর্ম যাহাদের তাহারাই তরুণ। তাহাদের দেশ নাই, জাতি নাই, অন্য ধর্ম নাই। দেশ-কাল-জাতি ধর্মের সীমার উর্ধ্বে ইহাদের সেনানিবাস। আজ আমরা- মুসলিম তরুণেরা- যেন অকুণ্ঠিত চিত্তে বলিতে পারি- ধর্ম আমাদের ইসলাম, কিন্তু প্রাণের ধর্ম আমাদের তারুণ্য, যৌবন। আমরা সকল দেশের, সকল কালের। আমরা মুরিদ যৌবনের। এই জাতি-ধর্ম কালকে অতিক্রম করিতে পারিয়াছে যাহাদের যৌবন, তাহারাই আজ মহামানব, মহাত্মা, মহাবীর। তাহাদিগকে সকল দেশের সকল ধর্মের সকল লোক সমান শ্রদ্ধা করে।
","যৌবনকে যারা হৃদয়ে ধারণ করেছে তারাই তরুণ। দেশ, কাল, ধর্ম, জাতি সব কিছুর ঊর্ধ্বে তরুণের অবস্থান। যৌবনের এই ধর্মই মানুষকে করে তুলেছে মহামানব, তাকে স্থান দিয়েছে সকল মানুষের হৃদয়ে। 
"
"এ দেশে লোকে যে যৌবনের কপালে রাজটিকার পরিবর্তে তার পৃষ্ঠে রাজদ- প্রয়োগ করতে সদাই প্রস্তুত সে বিষয়ে আর কোনো সন্দেহ নেই। এর কারণ হচ্ছে যে, আমাদের বিশ্বাস মানবজীবনে যৌবন একটা মস্ত ফাঁড়া, কোনো রকমে সেটি কাটিয়ে উঠতে পারলেই বাঁচা যায়। এ অবস্থায় কী জ্ঞানী কী অজ্ঞানী সকলেই চান যে এক লম্ফে বাল্য হতে বার্ধক্যে উত্তীর্ণ হন। যৌবনের নামে আমরা ভয় পাই। কেননা তার অন্তরে শক্তি আছে। অপরপক্ষে বালকের মনে শক্তি নেই, বৃদ্ধের দেহে শক্তি নেই, বালকের জ্ঞান নেই, বৃদ্ধের প্রাণ নেই। তাই আমাদের নিয়ত চেষ্টা হচ্ছে দেহের জড়তার সঙ্গে মনের জড়তার মিলন করা, অজ্ঞতার সহিত সন্ধি স্থাপন করা। তাই আমাদের শিক্ষানীতির উদ্দেশ্যে হচ্ছে ইঁচড়ে পাকানো আর আমাদের সমাজনীতির উদ্দেশ্য হচ্ছে জ্ঞান দিয়ে পাকানো।
","অন্তরের শক্তি, প্রাণপ্রাচুর্য যৌবনের মূলকথা। কিন্তু সমাজের দৃষ্টিতে যৌবন মানে উচ্ছৃঙ্খলতা। আর তাই সমাজ শাসন করে সর্বদা তার শক্তিকে দমিয়ে রাখতে চায়। কিন্তু যৌবন মানে উচ্ছৃঙ্খলতা নয়, যৌবন মানে সত্য ও সুন্দর। তাই সমাজের উচিত যৌবনকে তার শক্তি ও সম্ভাবনা প্রকাশের সুযোগ সৃষ্টি করে দেওয়া। 
"
"এ জগতে যিনি উঠেন, তিনি সাধারণের মধ্যে জন্মিয়া, সাধারণের মধ্যে বাড়িয়া, সাধারণের ওপর মস্তক তুলিয়া দাঁড়ান; তিনি অভ্যন্তরীণ মালমশলার সাহায্যে বড় হইয়া থাকেন। কুষ্মান্ড-লতা যেমন যষ্ঠির সাহায্যে মাচার ওপর ওঠে, তেমনি কোন কাপুরুষ, কোন অলস শ্রমকাতর মানুষ কেবলমাত্র অপরের সাহায্যে এ জগতে প্রকৃত মহত্ত্ব লাভ করিয়াছে? এ জগতে উঠিয়া-পড়িয়া, রহিয়া-সহিয়া, ভাঙ্গিয়া-গড়িয়া, কাঁদিয়া-কাটিয়া মানুষ হইতে হয়; ইহা ছাড়া মনুষ্যত্ব ও মহত্ত্ব লাভের অন্য পথ নাই।","পৃথিবীতে কিছু মানুষ রয়েছে যারা সর্বসাধারণের মধ্য থেকেই নিজ প্রচেষ্টায় মহৎ হয়ে ওঠেন। নিজ প্রচেষ্টা ব্যতীত কেবলমাত্র অন্যের সাহায্য নিয়ে প্রকৃত্ব মহত্ত্ব লাভ করা যায় না। তাই নিজ উদ্যোগ, শ্রম, মেধা, অধ্যবসায়, ধৈর্য ও দুঃখ লাঘবের ক্ষমতা প্রভৃতি গুনাবলীর দ্বারা সকল প্রকার প্রতিবন্ধকতাকে জয় করে মনুষ্যত্ব ও মহত্ত্ব অর্জন করা সম্ভব। 
"
